Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US10958,10958,447,4061,692,1329,222
860Z200US10960,10960,823,21498,2758,15445,3462
860Z200US10962,10962,508,7564,880,5516,1034
860Z200US10963,10963,752,6137,1055,1796,286
860Z200US10964,10964,45,2344,251,2046,385
860Z200US10965,10965,1160,21161,2893,13364,2463
860Z200US10968,10968,141,3990,368,3645,663
860Z200US10969,10969,31,1410,291,512,46
860Z200US10970,10970,1188,15363,1870,9305,1740
860Z200US10973,10973,82,3551,510,1769,253
860Z200US10974,10974,133,5086,652,2774,521
860Z200US10975,10975,0,406,82,66,0
860Z200US10976,10976,100,2610,724,1482,331
860Z200US10977,10977,8385,67292,11210,21900,3736
860Z200US10979,10979,0,0,0,0,0
860Z200US10980,10980,931,20630,3274,9141,1846
860Z200US10983,10983,311,8524,828,6954,1105
860Z200US10984,10984,153,4956,471,2705,340
860Z200US10985,10985,24,24,6,18,0
860Z200US10986,10986,69,2482,372,1103,226
860Z200US10987,10987,139,6201,830,3858,747
860Z200US10988,10988,39,928,207,288,105
860Z200US10989,10989,316,14218,1740,10066,1698
860Z200US10990,10990,893,32594,4370,18805,2440
860Z200US10992,10992,696,14279,2271,5438,708
860Z200US10993,10993,435,7465,1679,1796,234
860Z200US10994,10994,222,9709,1071,7317,1177
860Z200US10996,10996,79,4902,1768,3711,884
860Z200US10998,10998,208,4642,934,2494,440
860Z200US11001,11001,1782,38101,4349,25926,3986
860Z200US11003,11003,4542,69541,11908,30272,3956
860Z200US11004,11004,1652,23452,2625,15122,2557
860Z200US11005,11005,43,4519,433,3479,853
860Z200US11010,11010,1923,38430,5603,18528,3266
860Z200US11020,11020,240,8704,914,6287,1370
860Z200US11021,11021,865,29679,2723,24081,5100
860Z200US11023,11023,407,12335,919,9940,2095
860Z200US11024,11024,592,10316,1431,6593,1136
860Z200US11030,11030,422,24076,1311,24035,5104
860Z200US11040,11040,2430,62297,7320,44022,6469
860Z200US11042,11042,90,628,12,94,29
860Z200US11050,11050,1105,44873,4566,37983,7440
860Z200US11096,11096,1907,10842,1694,3696,548
860Z200US11101,11101,2938,52683,3921,43809,7679
860Z200US11102,11102,2301,42853,3738,32530,4693
860Z200US11103,11103,3166,55995,5299,40422,5303
860Z200US11104,11104,1750,43046,5121,27331,4347
860Z200US11105,11105,3280,59758,6774,42712,5815
860Z200US11106,11106,3904,61226,6957,42190,6121
860Z200US11109,11109,60,11442,526,11816,2444
860Z200US11201,11201,2764,104477,6393,102607,21314
860Z200US11203,11203,7723,123909,18762,39911,5300
860Z200US11204,11204,14235,89514,9811,41831,5131
860Z200US11205,11205,5128,56022,6917,40003,5784
860Z200US11206,11206,15170,101573,12618,51647,5520
860Z200US11207,11207,13744,132474,20469,35595,3537
860Z200US11208,11208,13877,152676,15904,29823,3080
860Z200US11209,11209,5890,104946,12055,72616,12078
860Z200US11210,11210,4971,87890,14535,44804,6442
860Z200US11211,11211,8017,85626,8124,65943,7498
860Z200US11212,11212,15177,111500,16617,25317,2442
860Z200US11213,11213,9060,88461,14876,39608,5836
860Z200US11214,11214,16234,116752,14450,55639,7509
860Z200US11215,11215,2696,105571,5848,105399,22521
860Z200US11216,11216,4890,97247,9695,70556,10003
860Z200US11217,11217,2768,63801,4841,60435,11479
860Z200US11218,11218,7798,94182,9876,62263,11704
860Z200US11219,11219,15631,87498,8927,27006,2850
860Z200US11220,11220,24902,95384,10194,42236,5779
860Z200US11221,11221,11027,128492,16375,73500,9317
860Z200US11222,11222,2453,65577,5674,57279,7543
860Z200US11223,11223,12753,97248,10947,47361,6849
860Z200US11224,11224,7044,69074,7834,30627,5362
860Z200US11225,11225,5552,87727,11784,55195,7096
860Z200US11226,11226,11038,151081,19423,69237,9480
